==> 1579272653216571.pcd <==
-0.20867611 -0.42598882 0.016610701
-0.20881081 -0.42587814 0.016607231
-0.20894286 -0.42576975 0.016606158
-0.20907484 -0.42566147 0.016606247
-0.20920739 -0.42555252 0.016601671
-0.20934206 -0.42544198 0.016600531
-0.20947471 -0.42533293 0.016595952
-0.20961016 -0.4252215 0.016588971
-0.20974256 -0.42511281 0.016587889
-0.20987616 -0.42500368 0.016598409
-0.21000947 -0.42489395 0.016590323
-0.21014191 -0.42478529 0.0165904
-0.21027508 -0.42467576 0.016584648
-0.21041188 -0.42456284 0.01656948
-0.21054299 -0.42445585 0.016582396
-0.21067539 -0.42434734 0.016584802
-0.21080826 -0.42423826 0.016583709
-0.21094537 -0.42412511 0.016568545
-0.21107808 -0.42401627 0.016569775
-0.2112103 -0.42390805 0.016575679
-0.21134371 -0.42379844 0.016572241
-0.21147923 -0.42368725 0.01657225
-0.21161175 -0.42357874 0.016576976
-0.21174565 -0.42346862 0.016571205
-0.21187873 -0.42335948 0.016572427
-0.21201451 -0.42324808 0.016572418
-0.21214786 -0.42313868 0.016572472
-0.21228175 -0.42302868 0.016569031
-0.21241525 -0.42291915 0.016569082
-0.21254879 -0.4228096 0.01656913
-0.2126832 -0.42269906 0.016563337
-0.21281938 -0.42258734 0.016563319
-0.21295458 -0.42247593 0.016552864
-0.21309018 -0.42236409 0.016540058
-0.21322346 -0.42225495 0.016544774
-0.21335928 -0.42214373 0.016549416
-0.21349432 -0.42203262 0.016542446
-0.2136291 -0.42192185 0.016537813
-0.21376397 -0.42181095 0.016533177
-0.21390073 -0.42169875 0.016533144
-0.21403354 -0.42159027 0.016543683
-0.21416539 -0.42148289 0.016561229
-0.21430553 -0.42136616 0.016522722
-0.21444277 -0.4212535 0.016521506
-0.2145748 -0.42114598 0.016539058
-0.21470915 -0.42103589 0.016541407
-0.21484499 -0.4209241 0.016534425
-0.21498235 -0.42081141 0.016534377
-0.21511728 -0.4207007 0.01653439
-0.21525264 -0.42058954 0.016532063
-0.21538863 -0.42047772 0.016526237
-0.21552484 -0.42036638 0.01653553
-0.21566026 -0.42025521 0.016534362
-0.21579723 -0.42014235 0.01652386
-0.21593393 -0.42002982 0.016515678
-0.21606886 -0.41991928 0.016519193
-0.2162033 -0.41980931 0.0165262
-0.21634221 -0.41969514 0.01652145
-0.2164789 -0.41958272 0.016515609
-0.21661644 -0.41946939 0.016505083
-0.21675311 -0.41935706 0.016500402
-0.21689084 -0.41924426 0.016504994
-0.21702534 -0.41913432 0.016514331
-0.21716246 -0.41902155 0.016508477
-0.21729968 -0.41890872 0.016502611
-0.21743813 -0.41879523 0.016504865
-0.21757393 -0.41868398 0.016508346
-0.21771041 -0.41857201 0.01650832
-0.21784779 -0.41845906 0.016503621
-0.21798801 -0.41834375 0.016497677
-0.21812601 -0.41823021 0.016490631
-0.21826224 -0.4181186 0.016494112
-0.21839854 -0.41800693 0.01649758
-0.21853894 -0.4178915 0.016492793
-0.21867436 -0.41778085 0.016502107
-0.21881241 -0.41766736 0.016497388
-0.21895076 -0.41755357 0.016491495
-0.21909156 -0.41743785 0.016486708
-0.21922839 -0.41732574 0.016490161
-0.21936552 -0.41721332 0.016492451
-0.21950273 -0.41710088 0.016494736
-0.21964371 -0.41698503 0.016491104
-0.2197811 -0.41687241 0.016493384
-0.21992105 -0.41675711 0.016482797
-0.22005798 -0.41664505 0.016488582
-0.22019663 -0.41653174 0.01649897
-0.22033721 -0.41641647 0.0165
-0.22048146 -0.41629672 0.016469531
-0.22061503 -0.41618767 0.01648121
-0.22075729 -0.41607067 0.016475216
-0.22089475 -0.41595817 0.016480984
-0.22103395 -0.41584384 0.016478568
-0.22117324 -0.41572946 0.016476139
-0.22131428 -0.41561383 0.016478328
-0.22145331 -0.41549975 0.016478237
-0.22159316 -0.41538486 0.016474633
-0.22173215 -0.41527086 0.016475704
-0.22187656 -0.41515127 0.01645105
-0.22201359 -0.41503936 0.016462641
-0.22215673 -0.41492173 0.016457794
-0.22229517 -0.41480839 0.016463529
-0.2224369 -0.41469169 0.016454067
-0.22257529 -0.41457844 0.016460972
-0.22271988 -0.41445941 0.016451428
-0.22285846 -0.41434601 0.016458329
-0.22299765 -0.41423202 0.016462892
-0.22314224 -0.41411248 0.016442876
-0.22328529 -0.41399512 0.016442683
-0.22342584 -0.41387978 0.016442552
-0.22356544 -0.41376546 0.016447106
-0.2237049 -0.41365129 0.016452825
-0.22385046 -0.41353142 0.016443254
-0.22399145 -0.41341576 0.016443113
-0.22413489 -0.41329759 0.016432438
-0.22427428 -0.4131836 0.016440477
-0.22442007 -0.41306359 0.016432071
-0.22456525 -0.41294372 0.01641554
-0.22470415 -0.41283029 0.016427085
-0.22484475 -0.41271514 0.016431604
-0.2249881 -0.41259772 0.016436061
-0.22513272 -0.41247854 0.016424185
-0.22527666 -0.41236007 0.016415827
-0.22542065 -0.41224208 0.016419098
-0.22555852 -0.41212982 0.016437659
-0.22569935 -0.41201404 0.016432861
-0.22584924 -0.41189015 0.016412718

==> 1579272653240627.pcd <==
-0.22614962 -0.41164994 0.016443491
-0.22629081 -0.41153443 0.016450321
-0.22643194 -0.41141945 0.016468788
-0.15409443 -0.47081038 0.017329326
-0.15424202 -0.47068915 0.017326662
-0.15438852 -0.4705683 0.017312394
-0.15453693 -0.47044659 0.017313201
-0.15469232 -0.47031975 0.017327789
-0.15484005 -0.47019851 0.017327443
-0.15498547 -0.47007886 0.017320182
-0.15513149 -0.46995884 0.017315229
-0.15528007 -0.46983671 0.01731021
-0.15542565 -0.46971661 0.017295966
-0.15559079 -0.46958336 0.017345201
-0.15572959 -0.46946868 0.01732764
-0.15587404 -0.46934938 0.017311094
-0.15602455 -0.46922648 0.017323477
-0.15616946 -0.46910694 0.01730925
-0.15631545 -0.46898708 0.017307788
-0.15646023 -0.46886808 0.017302867
-0.15660688 -0.46874741 0.017295575
-0.15675837 -0.46862394 0.017313756
-0.15690137 -0.46850619 0.017304229
-0.15704866 -0.46838516 0.017300401
-0.15719382 -0.46826598 0.01729897
-0.1573412 -0.46814495 0.017296312
-0.15749052 -0.46802303 0.017309885
-0.15763563 -0.46790397 0.017309617
-0.1577819 -0.46778375 0.017304655
-0.15792438 -0.46766645 0.017296303
-0.15807712 -0.46754196 0.017314449
-0.15822168 -0.46742335 0.017314194
-0.15836777 -0.46730331 0.017310409
-0.15851074 -0.46718577 0.017305532
-0.15865856 -0.46706462 0.017308684
-0.15880558 -0.46694449 0.017318828
-0.15895377 -0.46682313 0.017324289
-0.1591047 -0.46670043 0.017349463
-0.1592422 -0.4665862 0.017317975
-0.1593779 -0.466474 0.017299334
-0.15953137 -0.46634927 0.017325602
-0.15967754 -0.4662298 0.017335767
-0.15981978 -0.46611249 0.017322769
