         x	         y	         z
 -0.946264	  2.303397	  0.157168
 -0.948978	  2.302543	  0.157210
 -0.951741	  2.301696	  0.157237
 -0.954562	  2.300830	  0.157262
 -0.957454	  2.299947	  0.157280
 -0.960408	  2.299065	  0.157291
 -0.963421	  2.298177	  0.157311
 -0.966468	  2.297310	  0.157337
 -0.969543	  2.296451	  0.157372
 -0.972652	  2.295606	  0.157423
 -0.975817	  2.294754	  0.157461
 -0.979040	  2.293899	  0.157497
 -0.982318	  2.293032	  0.157515
 -0.985640	  2.292164	  0.157527
 -0.988999	  2.291304	  0.157545
 -0.992395	  2.290467	  0.157578
 -0.995859	  2.289635	  0.157604
 -0.999379	  2.288816	  0.157658
 -1.002986	  2.288003	  0.157690
 -1.006637	  2.287192	  0.157717
 -1.010295	  2.286392	  0.157749
 -1.013958	  2.285623	  0.157776
 -1.017600	  2.284856	  0.157807
 -1.021265	  2.284096	  0.157845
 -1.024983	  2.283354	  0.157870
 -1.028734	  2.282620	  0.157893
 -1.032506	  2.281919	  0.157928
 -1.036320	  2.281241	  0.157970
 -1.040167	  2.280570	  0.158011
 -1.044049	  2.279908	  0.158055
 -1.048019	  2.279260	  0.158084
 -1.052034	  2.278615	  0.158104
 -1.056051	  2.278006	  0.158131
 -1.060117	  2.277400	  0.158163
 -1.064197	  2.276831	  0.158212
 -1.068357	  2.276280	  0.158242
 -1.072552	  2.275732	  0.158272
 -1.076781	  2.275218	  0.158308
 -1.081040	  2.274725	  0.158340
 -1.085313	  2.274243	  0.158376
 -1.089629	  2.273792	  0.158422
 -1.094031	  2.273358	  0.158433
 -1.098431	  2.272950	  0.158477
 -1.102871	  2.272585	  0.158523
 -1.107352	  2.272232	  0.158566
 -1.111866	  2.271911	  0.158616
 -1.116463	  2.271605	  0.158637
 -1.121075	  2.271319	  0.158670
 -1.125692	  2.271069	  0.158698
 -1.130348	  2.270840	  0.158729
 -1.135019	  2.270644	  0.158773
 -1.139727	  2.270475	  0.158801
 -1.144456	  2.270363	  0.158857
 -1.149183	  2.270282	  0.158905
 -1.153930	  2.270210	  0.158963
 -1.158742	  2.270171	  0.159011
 -1.163610	  2.270159	  0.159031
 -1.168485	  2.270187	  0.159059
 -1.173388	  2.270241	  0.159087
 -1.178320	  2.270333	  0.159130
 -1.183325	  2.270472	  0.159151
 -1.188350	  2.270644	  0.159195
 -1.193394	  2.270866	  0.159251
 -1.198460	  2.271110	  0.159301
 -1.203564	  2.271387	  0.159355
 -1.208732	  2.271706	  0.159364
 -1.213902	  2.272067	  0.159408
 -1.219083	  2.272452	  0.159444
 -1.224295	  2.272883	  0.159506
 -1.229589	  2.273370	  0.159530
 -1.234910	  2.273911	  0.159579
 -1.240248	  2.274496	  0.159619
 -1.245601	  2.275104	  0.159685
 -1.251022	  2.275777	  0.159708
 -1.256450	  2.276477	  0.159746
 -1.261869	  2.277229	  0.159787
 -1.267276	  2.278003	  0.159841
 -1.272743	  2.278861	  0.159866
 -1.278209	  2.279732	  0.159904
 -1.283674	  2.280672	  0.159965
 -1.289160	  2.281629	  0.160033
 -1.294750	  2.282689	  0.160072
 -1.300354	  2.283758	  0.160101
 -1.305967	  2.284905	  0.160149
 -1.311596	  2.286071	  0.160194
 -1.317303	  2.287345	  0.160216
 -1.323009	  2.288631	  0.160251
 -1.328720	  2.289991	  0.160296
 -1.334441	  2.291375	  0.160353
 -1.340230	  2.292869	  0.160388
 -1.346020	  2.294379	  0.160425
 -1.351795	  2.295956	  0.160468
 -1.357577	  2.297572	  0.160530
 -1.363417	  2.299281	  0.160534
 -1.369245	  2.301023	  0.160575
 -1.375074	  2.302804	  0.160615
 -1.380909	  2.304688	  0.160666
 -1.386751	  2.306580	  0.160677
 -1.392560	  2.308551	  0.160729
 -1.398325	  2.310539	  0.160782
 -1.404109	  2.312633	  0.160822
 -1.409853	  2.314723	  0.160840
 -1.415563	  2.316870	  0.160888
 -1.421264	  2.319064	  0.160953
 -1.426987	  2.321336	  0.160947
 -1.432650	  2.323616	  0.160987
 -1.438276	  2.325962	  0.161035
 -1.443899	  2.328380	  0.161092
 -1.449538	  2.330798	  0.161075
 -1.455092	  2.333318	  0.161135
 -1.460634	  2.335818	  0.161170
 -1.466167	  2.338424	  0.161203
 -1.471632	  2.341032	  0.161214
 -1.477057	  2.343667	  0.161260
 -1.482430	  2.346333	  0.161312
 -1.487799	  2.349105	  0.161326
 -1.493163	  2.351840	  0.161325
 -1.498433	  2.354665	  0.161390
 -1.503689	  2.357528	  0.161433
 -1.508973	  2.360389	  0.161398
 -1.514119	  2.363343	  0.161471
 -1.519277	  2.366231	  0.161476
 -1.524386	  2.369265	  0.161521
 -1.529487	  2.372261	  0.161466
 -1.534462	  2.375272	  0.161504
 -1.539375	  2.378296	  0.161551
 -1.544348	  2.381419	  0.161543
 -1.549244	  2.384557	  0.161554
 -1.554074	  2.387757	  0.161625
 -1.558882	  2.390930	  0.161672
 -1.563618	  2.394217	  0.161693
 -1.568333	  2.397435	  0.161710
 -1.572951	  2.400665	  0.161749
 -1.577496	  2.403901	  0.161787
 -1.582071	  2.407186	  0.161754
 -1.586541	  2.410461	  0.161782
 -1.590958	  2.413779	  0.161804
 -1.595351	  2.417072	  0.161832
 -1.599689	  2.420494	  0.161861
 -1.604025	  2.423872	  0.161881
 -1.608246	  2.427297	  0.161931
 -1.612464	  2.430660	  0.161950
 -1.616634	  2.434143	  0.161984
 -1.620783	  2.437557	  0.161971
 -1.624829	  2.440998	  0.161981
 -1.628816	  2.444406	  0.162014
 -1.632791	  2.447917	  0.162028
 -1.636749	  2.451367	  0.162010
 -1.640542	  2.454888	  0.162078
 -1.644391	  2.458326	  0.162084
 -1.648130	  2.461861	  0.162174
 -1.651907	  2.465374	  0.162118
 -1.655553	  2.468910	  0.162176
 -1.659184	  2.472387	  0.162162
 -1.662752	  2.475874	  0.162189
 -1.666309	  2.479400	  0.162177
 -1.669805	  2.482946	  0.162196
 -1.673253	  2.486451	  0.162207
 -1.676577	  2.489960	  0.162273
 -1.679975	  2.493504	  0.162275
 -1.683300	  2.497067	  0.162277
 -1.686564	  2.500630	  0.162305
 -1.689813	  2.504132	  0.162283
 -1.692959	  2.507666	  0.162332
 -1.696142	  2.511228	  0.162310
 -1.699297	  2.514791	  0.162294
 -1.702324	  2.518355	  0.162345
 -1.705354	  2.521878	  0.162357
 -1.708331	  2.525413	  0.162392
 -1.711265	  2.529025	  0.162400
 -1.714231	  2.532580	  0.162384
 -1.717062	  2.536098	  0.162411
 -1.719855	  2.539601	  0.162423
 -1.722679	  2.543106	  0.162413
 -1.725414	  2.546687	  0.162416
 -1.728165	  2.550234	  0.162410
 -1.730825	  2.553746	  0.162430
 -1.733410	  2.557234	  0.162466
 -1.736024	  2.560717	  0.162457
 -1.738565	  2.564258	  0.162465
 -1.741096	  2.567766	  0.162464
 -1.743574	  2.571193	  0.162461
 -1.745926	  2.574599	  0.162492
 -1.748302	  2.577987	  0.162482
 -1.750666	  2.581425	  0.162476
 -1.752950	  2.584872	  0.162489
 -1.755220	  2.588231	  0.162506
 -1.757426	  2.591543	  0.162512
 -1.759548	  2.594853	  0.162545
 -1.761695	  2.598148	  0.162532
 -1.763811	  2.601445	  0.162506
 -1.765815	  2.604708	  0.162528
 -1.767795	  2.607867	  0.162526
 -1.769726	  2.610948	  0.162529
 -1.771555	  2.614049	  0.162552
 -1.773449	  2.617144	  0.162535
 -1.775303	  2.620256	  0.162535
 -1.777069	  2.623350	  0.162553
 -1.778836	  2.626351	  0.162561
 -1.780528	  2.629294	  0.162559
 -1.782167	  2.632205	  0.162579
 -1.783838	  2.635101	  0.162544
 -1.785447	  2.638024	  0.162548
 -1.787011	  2.640952	  0.162556
 -1.788583	  2.643779	  0.162543
 -1.790045	  2.646522	  0.162559
 -1.791464	  2.649231	  0.162591
 -1.792925	  2.651946	  0.162568
 -1.794349	  2.654658	  0.162566
 -1.795744	  2.657423	  0.162566
 -1.797189	  2.660188	  0.162538
 -1.798523	  2.662871	  0.162550
 -1.799786	  2.665473	  0.162585
 -1.801078	  2.667991	  0.162575
 -1.802287	  2.670485	  0.162589
 -1.803481	  2.672993	  0.162593
 -1.804740	  2.675550	  0.162585
 -1.805934	  2.678142	  0.162591
 -1.807115	  2.680705	  0.162584
 -1.808314	  2.683173	  0.162572
 -1.809394	  2.685577	  0.162588
 -1.810455	  2.687932	  0.162599
 -1.811552	  2.690247	  0.162579
 -1.812568	  2.692589	  0.162591
 -1.813628	  2.694971	  0.162594
 -1.814700	  2.697375	  0.162565
 -1.815684	  2.699775	  0.162594
 -1.816706	  2.702084	  0.162569
 -1.817623	  2.704309	  0.162601
 -1.818531	  2.706448	  0.162604
 -1.819443	  2.708567	  0.162610
 -1.820317	  2.710714	  0.162621
 -1.821238	  2.712880	  0.162583
 -1.822127	  2.715128	  0.162598
 -1.823023	  2.717403	  0.162591
 -1.823935	  2.719635	  0.162575
 -1.824764	  2.721780	  0.162578
 -1.825535	  2.723821	  0.162597
 -1.826321	  2.725731	  0.162583
 -1.827012	  2.727609	  0.162600
 -1.827743	  2.729481	  0.162584
 -1.828514	  2.731390	  0.162575
 -1.829198	  2.733346	  0.162579
 -1.829962	  2.735352	  0.162565
 -1.830713	  2.737372	  0.162559
 -1.831383	  2.739392	  0.162571
 -1.832112	  2.741309	  0.162555
 -1.832733	  2.743115	  0.162574
 -1.833305	  2.744797	  0.162586
 -1.833925	  2.746387	  0.162561
 -1.834460	  2.747990	  0.162576
 -1.835032	  2.749609	  0.162571
 -1.835644	  2.751269	  0.162559
