,qw,qx,qy,qz,x,y,z,ut,k,dcm_0,dcm_1,dcm_2,dcm_3,dcm_4,dcm_5,dcm_6,dcm_7,dcm_8,ro,pi,ya
J011,0.7062343106262484,-0.0009981770363225587,0.0012636400346014802,0.707976344813027,0.9105218634814647,0.11213930488949293,0.20837346011899355,1559059389.0638058,15935.0,-0.0024642037386608355,-0.9999968939150454,0.00037148042341988963,0.9999918489370115,-0.00246300287841809,0.003199148239201884,-0.0031982233650218713,0.00037936077798909147,0.9999948130639195,0.0003793627275256731,0.0031982288177386377,1.5732605456317956
J012,0.7062394709351907,0.00016627832833366498,0.0015632649908063785,0.7079712831482228,0.6712059031633673,-0.6253474417781353,0.20842783268902576,1559059399.211393,17203.5,-0.0024515634426254492,-0.9999940088644561,0.002443519470080078,0.9999950485763609,-0.0024467314679844127,0.0019786288185937705,-0.0019726383039808935,0.0024483580526573753,0.9999950564895598,0.002448365263315676,0.001972639583985236,1.5732478974647146
J013,0.6759075372944461,0.2055029388392682,0.2071485014439322,0.6767621745884835,0.5788738022487859,-0.6259975593885564,0.41776625298007586,1559059412.2948818,18839.0,-0.001835085665389475,-0.8297180577364901,0.5581796983988787,0.9999965609729639,-0.00047699823982716796,0.0025785701209858143,-0.0018732353071109521,0.5581825110722572,0.8297160802426684,0.5921948732957295,0.0018732364033869071,1.5726314167112456
J014,0.6305606975492513,0.2172492258575941,-0.1847482046800438,0.7218476853272784,0.6798317924342525,-0.5656296625392268,0.3306589001256997,1559059425.738275,20519.5,-0.11039196035030752,-0.9906103685938623,0.08065178782460412,0.830064750800493,-0.13652261470138935,-0.5406977746518544,0.5466316150699937,0.007257519058099441,0.8373417488118502,0.008667115452043402,-0.5783363706900325,1.703012459615919
J015,0.41862242065335303,0.5690566527764871,-0.38703790727093423,0.5925634587412977,0.6578521833304897,-0.4310778733396057,-0.0914497815296691,1559059435.3619082,21722.5,-0.0018595891638289246,-0.9366136907791882,0.35035886520820547,0.05562770694863521,-0.34991385414279913,-0.9351287887850694,0.9984498478731091,0.01775070497289242,0.052752367965605715,0.32459003859050617,-1.5151087603077746,1.6042129253133914
J016,0.4887150429712629,0.5103607228859961,-0.4590536567543672,0.5384786709348222,0.585151002885817,-0.19925498111391238,0.3686293248492152,1559059445.4174578,22979.5,-0.001379078159477828,-0.9948911654179933,0.1009438721639665,0.057759341363375,-0.10085469364725841,-0.9932231312111341,0.9983295825882331,0.00446071930947276,0.05760334506462946,0.07728439461189535,-1.5129883238725594,1.5946679832922908
J017,0.7062141626149575,0.0012890374587958945,0.0009416590990561171,0.7079964742655831,0.11208623591616731,-0.9105434153584762,0.2082872861104929,1559059456.1010501,24315.0,-0.0025197891826012086,-0.9999918466709523,0.0031552939548868263,0.999996701795378,-0.00252133900541098,-0.0004872903243493517,0.0004952420180231868,0.003154055643488923,0.999994902465803,0.003154061262480819,-0.0004952420385313843,1.573316118955295
J018,0.61121224256267,-0.3524482303974961,0.35412048654955924,0.6138391645511121,0.1120243269415696,-0.7916422448299394,0.24912923771891365,1559059466.360649,25597.5,-0.004399678339983032,-0.9999903023262635,0.000192498848028746,0.500753746834586,-0.002036550600350911,0.8655873935030242,-0.8655786079128924,0.0039047006721900017,0.500757851225002,0.00779742447360648,1.0463046506345137,1.5795822124476875
J019,0.2988800952946405,0.6419707723239497,-0.578544982982661,0.40475908672083377,0.12584228747293685,-0.8384292659111856,0.0026659005890842143,1559059478.3601534,27097.5,0.0029115682387459113,-0.9847668079081234,0.17385584774960164,-0.500869070112518,-0.15191278203662364,-0.8520872487894225,0.8655181661918806,-0.084598106611193,-0.4936815401319164,-2.971879345459903,-1.0461839664072685,-1.5649833594474385
J020,0.6819054685260857,0.18405522755205878,0.1841173691543347,0.6835418048855076,0.15333918352979736,-0.9104467237377643,0.1970447279637227,1559059492.2796125,28837.5,-0.0022572098687252077,-0.8644462608795102,0.5027201666542769,0.9999973176192991,-0.0022114521566428584,0.0006873053090911185,0.0005176031574967253,0.5027203698870716,0.8644489344608243,0.5267429252938552,-0.0005176031809000281,1.573053538884844
