    Joint0	    Joint1	    Joint2	    Joint3	    Joint4	    Joint5	
 -0.007996	 -0.929707	  0.533991	 -1.198188	  1.602495	 -1.414756	
 -0.010533	 -0.929707	  0.533991	 -1.198224	  1.602507	 -1.412193	
 -0.013083	 -0.929684	  0.533967	 -1.198224	  1.602495	 -1.409581	
 -0.015656	 -0.929732	  0.534015	 -1.198188	  1.602507	 -1.406899	
 -0.018254	 -0.929732	  0.533979	 -1.198212	  1.602495	 -1.404216	
 -0.020803	 -0.929707	  0.533991	 -1.198212	  1.602531	 -1.401449	
 -0.023544	 -0.929707	  0.534003	 -1.198248	  1.602495	 -1.398718	
 -0.026225	 -0.929719	  0.533967	 -1.198212	  1.602495	 -1.395796	
 -0.028991	 -0.929707	  0.533967	 -1.198224	  1.602507	 -1.392957	
 -0.031743	 -0.929684	  0.533967	 -1.198224	  1.602507	 -1.390095	
 -0.034581	 -0.929707	  0.533979	 -1.198212	  1.602519	 -1.387088	
 -0.037441	 -0.929695	  0.533979	 -1.198188	  1.602519	 -1.384178	
 -0.040386	 -0.929707	  0.533967	 -1.198188	  1.602507	 -1.381219	
 -0.043294	 -0.929695	  0.533979	 -1.198224	  1.602471	 -1.378177	
 -0.046263	 -0.929695	  0.533979	 -1.198212	  1.602507	 -1.375147	
 -0.049243	 -0.929719	  0.533991	 -1.198212	  1.602507	 -1.371984	
 -0.052283	 -0.929707	  0.534003	 -1.198248	  1.602543	 -1.368894	
 -0.055312	 -0.929695	  0.534003	 -1.198248	  1.602519	 -1.365720	
 -0.058376	 -0.929719	  0.533979	 -1.198201	  1.602483	 -1.362546	
 -0.061464	 -0.929707	  0.533967	 -1.198224	  1.602483	 -1.359252	
 -0.064612	 -0.929707	  0.533979	 -1.198236	  1.602531	 -1.355995	
 -0.067795	 -0.929732	  0.533991	 -1.198188	  1.602483	 -1.352784	
 -0.071027	 -0.929695	  0.533991	 -1.198176	  1.602495	 -1.349539	
 -0.074307	 -0.929695	  0.533979	 -1.198212	  1.602495	 -1.346089	
